trial,time_start,time_end,condition,correct_clicks,incorrect_clicks
1,1493400232347,1493400294859,2,11,5
2,1493400324863,1493400387375,2,10,3
3,1493400417379,1493400479891,1,13,6
4,1493400509899,1493400572409,2,12,6
5,1493400602412,1493400664923,2,11,6
6,1493400694928,1493400757440,1,11,8
7,1493400787444,1493400849956,1,12,5
8,1493400879960,1493400942473,2,11,7
9,1493400972476,1493401034987,2,10,8
10,1493401064991,1493401127501,2,12,6
11,1493401157505,1493401220017,1,13,5
12,1493401250021,1493401312535,1,16,3
13,1493401342539,1493401405049,1,12,7
14,1493401435053,1493401497563,2,13,5
15,1493401527567,1493401590078,1,10,8
16,1493401620082,1493401682594,1,16,3
17,1493401712598,1493401775108,2,14,3
18,1493401805113,1493401867623,1,16,2
19,1493401897626,1493401960139,1,14,5
20,1493401990142,1493402052653,2,13,5
