trial,time_start,condition,time_end,correct_clicks,incorrect_clicks
0,1495220977675,1,1495221037682,5,19
1,1495221067686,1,1495221127689,14,16
2,1495221157693,0,1495221217700,30,0
3,1495221247704,1,1495221307707,14,16
4,1495221337712,1,1495221397714,12,17
5,1495221427726,0,1495221487733,31,0
6,1495221517737,1,1495221577739,6,24
7,1495221607742,0,1495221667747,25,2
8,1495221697750,0,1495221757758,26,1
9,1495221787763,0,1495221847769,33,0
10,1495221877772,0,1495221937781,34,0
11,1495221967783,0,1495222027793,30,1
12,1495222057795,0,1495222117802,34,1
13,1495222147807,1,1495222207811,14,15
14,1495222237814,1,1495222297816,10,20
15,1495222327820,0,1495222387829,35,0
16,1495222417832,1,1495222477835,8,22
17,1495222507837,1,1495222567841,14,18
18,1495222597845,0,1495222657853,30,1
19,1495222687858,1,1495222747861,14,16
